"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1","RT @Alan_Wurman: If you own an iPhone and a Tesla car. Suddenly Apple releases a car and Tesla releases a phone, would you migrate to:

Te","2020-12-23 00:55:47","TRUE","1","0","0","Apple iPhone","Los Angeles","USA",FALSE
"2","If you own an iPhone and a Tesla car. Suddenly Apple releases a car and Tesla releases a phone, would you migrate t ","2020-12-23 00:55:41","FALSE","1","0","0","Apple iPhone","Los Angeles","USA",FALSE
"3","@Apple Anyone else have crazy buggy experience with the iPhone 12 pro? My power button gets stuck sometimes, my tou ","2020-12-23 00:52:47","FALSE","0","0","-3","Apple iPhone","Los Angeles","USA",FALSE
"4","Man sues Apple claiming iPhone turned him gay - BBC News ","2020-12-23 00:32:33","FALSE","0","0","-1","Apple iPhone","Los Angeles","USA",FALSE
"5","RT @iDropNews: Congrats to Matthew R. from Brooklyn, New York who won a brand-new iPhone 12 Pro Max from @iDropNews  Follow the link and e","2020-12-23 00:22:48","TRUE","1857","0","1","Apple iPhone","Los Angeles","USA",FALSE
"6","RT @iDropNews: Congrats to Matthew R. from Brooklyn, New York who won a brand-new iPhone 12 Pro Max from @iDropNews  Follow the link and e","2020-12-23 00:10:42","TRUE","1857","0","1","Apple iPhone","Los Angeles","USA",TRUE
"7","RT @iDropNews: Follow the link and enter to win a FREE iPhone 12 Pro Max from @iDropNews  (ARV: $1,099) ","2020-12-23 00:08:26","TRUE","2523","0","2","Apple iPhone","Los Angeles","USA",FALSE
"8","RT @KianLawley: if u havent downloaded the FC app yet, u should download it now. ","2020-12-22 23:43:26","TRUE","228","0","0","Apple iPhone","Los Angeles","USA",FALSE
"9","RT @sktfilm: @CNBC What @apple should do is convert their melting cash into Bitcoin... AND offer a Bitcoin native wallet on iPhone.

CC: @","2020-12-22 23:41:05","TRUE","1","0","0","Apple iPhone","Los Angeles","USA",FALSE
"10","@CNBC What @apple should do is convert their melting cash into Bitcoin... AND offer a Bitcoin native wallet on iPh ","2020-12-22 23:38:10","FALSE","1","6","0","Apple iPhone","Los Angeles","USA",FALSE
"11","RT @iDropNews: Apple's iPhone 13 May Get This Even Faster Wi-Fi Technology applenews  ","2020-12-22 22:50:21","TRUE","3","0","1","Apple iPhone","Los Angeles","USA",FALSE
"12","RT @iDropNews: Congrats to Matthew R. from Brooklyn, New York who won a brand-new iPhone 12 Pro Max from @iDropNews  Follow the link and e","2020-12-22 22:43:13","TRUE","1857","0","1","Apple iPhone","Los Angeles","USA",TRUE
"13","RT @IndieVideoGames: DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames vi","2020-12-22 22:42:23","TRUE","3","0","0","Apple iPhone","Los Angeles","USA",FALSE
"14","RT @IndieVideoGames: DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames vi","2020-12-22 22:42:23","TRUE","3","0","0","Apple iPhone","Los Angeles","USA",TRUE
"15","RT @IndieVideoGames: DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames vi","2020-12-22 22:40:41","TRUE","3","0","0","Apple iPhone","Los Angeles","USA",TRUE
"16","DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames ","2020-12-22 22:40:35","FALSE","3","0","0","Apple iPhone","Los Angeles","USA",FALSE
"17","RT @iDropNews: Follow the link and enter to win a FREE iPhone 12 Pro Max from @iDropNews  (ARV: $1,099) ","2020-12-22 22:34:54","TRUE","2523","0","2","Apple iPhone","Los Angeles","USA",TRUE
"18","RT @iDropNews: Congrats to Matthew R. from Brooklyn, New York who won a brand-new iPhone 12 Pro Max from @iDropNews  Follow the link and e","2020-12-22 22:26:33","TRUE","1857","0","1","Apple iPhone","Los Angeles","USA",TRUE
"19","RT @iDropNews: Apple's iPhone 13 May Get This Even Faster Wi-Fi Technology applenews  ","2020-12-22 22:25:15","TRUE","3","0","1","Apple iPhone","Los Angeles","USA",TRUE
"20","RT @iDropNews: Follow the link and enter to win a FREE iPhone 12 Pro Max from @iDropNews  (ARV: $1,099) ","2020-12-22 22:23:36","TRUE","2523","0","2","Apple iPhone","Los Angeles","USA",TRUE
"21","RT @iDropNews: Congrats to Matthew R. from Brooklyn, New York who won a brand-new iPhone 12 Pro Max from @iDropNews  Follow the link and e","2020-12-22 22:23:11","TRUE","1857","0","1","Apple iPhone","Los Angeles","USA",TRUE
"22","RT @iDropNews: Apple's iPhone 13 May Get This Even Faster Wi-Fi Technology applenews  ","2020-12-22 22:18:30","TRUE","3","0","1","Apple iPhone","Los Angeles","USA",TRUE
"23","Apple's iPhone 13 May Get This Even Faster Wi-Fi Technology applenews  ","2020-12-22 22:17:36","FALSE","3","10","1","Apple iPhone","Los Angeles","USA",FALSE
"24","Remmember how jobs launched the Rokr with Motorola to learn about phones prior to the iPhone. If Apple wants to do ","2020-12-22 21:47:55","FALSE","0","0","0","Apple iPhone","Los Angeles","USA",FALSE
"25","RT @nobatechnology: NEW VIDEO: Top 5 Best iPhone 12 Cases apple iphone iphone12 iphone12pro 

","2020-12-22 21:23:05","TRUE","2","0","2","Apple iPhone","Los Angeles","USA",FALSE
"26","RT @WatchTheBreaks: I just did a test-pilot run on Loupe and my goodness, if you have an iPhone and you run sales AT ALL you want to be on","2020-12-22 21:14:37","TRUE","5","0","1","Apple iPhone","Los Angeles","USA",FALSE
"27","RT @WatchTheBreaks: I just did a test-pilot run on Loupe and my goodness, if you have an iPhone and you run sales AT ALL you want to be on","2020-12-22 21:13:28","TRUE","5","0","1","Apple iPhone","Los Angeles","USA",TRUE
"28","RT @nobatechnology: NEW VIDEO: Top 5 Best iPhone 12 Cases apple iphone iphone12 iphone12pro 

","2020-12-22 20:58:59","TRUE","2","0","2","Apple iPhone","Los Angeles","USA",TRUE
"29","NEW VIDEO: Top 5 Best iPhone 12 Cases apple iphone iphone12 iphone12pro 

","2020-12-22 20:58:34","FALSE","2","1","2","Apple iPhone","Los Angeles","USA",FALSE
"30","RT @AiroVera_: I Can And I Will ... Watch ME

","2020-12-22 20:49:27","TRUE","5","0","0","Apple iPhone","Los Angeles","USA",FALSE
"31","Unrest at Wistron plant could delay India iPhone market expansion, analyst says - AppleInsider ","2020-12-22 20:48:49","FALSE","0","0","-2","Apple iPhone","Los Angeles","USA",FALSE
"32","RT @WatchTheBreaks: I just did a test-pilot run on Loupe and my goodness, if you have an iPhone and you run sales AT ALL you want to be on","2020-12-22 20:40:44","TRUE","5","0","1","Apple iPhone","Los Angeles","USA",TRUE
"33","Facebook Secretly Tracks Your iPhone LocationThis Is How To Stop It via @forbes ","2020-12-22 20:24:41","FALSE","0","1","0","Apple iPhone","Los Angeles","USA",FALSE
"34","RT @AiroVera_: I Can And I Will ... Watch ME

","2020-12-22 20:19:25","TRUE","5","0","0","Apple iPhone","Los Angeles","USA",TRUE
"35","RT @AiroVera_: I Can And I Will ... Watch ME

","2020-12-22 20:18:52","TRUE","5","0","0","Apple iPhone","Los Angeles","USA",TRUE
"36","RT @AiroVera_: I Can And I Will ... Watch ME

","2020-12-22 20:18:02","TRUE","5","0","0","Apple iPhone","Los Angeles","USA",TRUE
"37","RT @AiroVera_: I Can And I Will ... Watch ME

","2020-12-22 20:17:50","TRUE","5","0","0","Apple iPhone","Los Angeles","USA",TRUE
"38","I Can And I Will ... Watch ME

","2020-12-22 20:17:30","FALSE","5","2","0","Apple iPhone","Los Angeles","USA",FALSE
"39","RT @iDropNews: Follow the link and enter to win a FREE iPhone 12 Pro Max from @iDropNews  (ARV: $1,099) ","2020-12-22 20:10:55","TRUE","2523","0","2","Apple iPhone","Los Angeles","USA",TRUE
"40","RT @iDropNews: Congrats to Matthew R. from Brooklyn, New York who won a brand-new iPhone 12 Pro Max from @iDropNews  Follow the link and e","2020-12-22 20:06:42","TRUE","1857","0","1","Apple iPhone","Los Angeles","USA",TRUE
"41","RT @TurnUpTrendCity: Only the Top Voted Artists will Advance to the @TrendCityRadio Top40

App VOTES ONLY

Download our App Now &amp; Vo","2020-12-22 20:01:49","TRUE","1","0","2","Apple iPhone","Los Angeles","USA",FALSE
